Price,Address,Beds,Baths,Sqft,URL
$699999,6501 W El Campo Grande Ave Las Vegas NV 89130,5,5.5,3350,https://www.redfin.com/NV/Las-Vegas/6501-W-El-Campo-Grande-Ave-89130/home/29094516
$569000,479 Wendover Hills Ave Las Vegas NV 89123,5,3,2706,https://www.redfin.com/NV/Las-Vegas/479-Wendover-Hills-Ave-89123/home/28992719
N/A,N/A,N/A,N/A,N/A,N/A
$775000,5760 Bedrock Springs Ave Las Vegas NV 89131,5,4,4015,https://www.redfin.com/NV/Las-Vegas/5760-Bedrock-Springs-Ave-89131/home/29049914
$506400,10800 River Junction Ave Las Vegas NV 89149,5,3.5,2469,https://www.redfin.com/NV/Las-Vegas/10800-River-Junction-Ave-89166/home/179981285
$529797,8933 Cherry Barn St Las Vegas NV 89113,5,3.5,2469,https://www.redfin.com/NV/Las-Vegas/8933-Cherry-Barn-St-89113/home/181103653
$574508,10172 Abseil St Las Vegas NV 89143,5,3.5,3066,https://www.redfin.com/NV/Las-Vegas/10172-Abseil-St-89166/home/183995459
$975000,2241 Country Cottage Ct Las Vegas NV 89117,5,4,3596,https://www.redfin.com/NV/Las-Vegas/2241-Country-Cottage-Ct-89117/home/29521611
$774000,8504 Alpine Vineyards Ct Las Vegas NV 89139,5,4,4022,https://www.redfin.com/NV/Las-Vegas/8504-Alpine-Vineyards-Ct-89139/home/144164192
$729000,4355 Tall Tree Las Vegas NV 89147,5,4.5,4001,https://www.redfin.com/NV/Las-Vegas/4355-Tall-Tree-St-89147/home/29558971
$875000,7193 Estonian Pl Las Vegas NV 89113,5,4,3877,https://www.redfin.com/NV/Las-Vegas/7193-Estonian-Pl-89113/home/29320879
$789900,2125 Whitebirch Ln Las Vegas NV 89134,5,4,3666,https://www.redfin.com/NV/Las-Vegas/2125-Whitebirch-Ln-89134/home/29156543
$649900,7848 Regency Park St Las Vegas NV 89149,5,3.5,3730,https://www.redfin.com/NV/Las-Vegas/7848-Regency-Park-St-89149/home/29022869
$465000,4137 Oxnard Cir Las Vegas NV 89121,5,3,2750,https://www.redfin.com/NV/Las-Vegas/4137-Oxnard-Cir-89121/home/29427079
$727995,7601 Boyd Ave Las Vegas NV 89179,5,4,3816,https://www.redfin.com/NV/Las-Vegas/7601-Boyd-Ave-89179/home/52666056
$650000,9852 Snowy Canyon Ct Las Vegas NV 89183,5,3,2968,https://www.redfin.com/NV/Las-Vegas/9852-Snowy-Canyon-Ct-89183/home/29636871
N/A,N/A,N/A,N/A,N/A,N/A
$980000,3 Tall Ruff Dr Las Vegas NV 89148,5,4.5,4117,https://www.redfin.com/NV/Las-Vegas/3-Tall-Ruff-Dr-89148/home/29037309
$549000,8604 Canyon Ranch St Las Vegas NV 89131,5,3,3758,https://www.redfin.com/NV/Las-Vegas/8604-Canyon-Ranch-St-89131/home/29021584
$695000,10225 Black Friar Ct Las Vegas NV 89166,5,3,3121,https://www.redfin.com/NV/Las-Vegas/10225-Black-Friar-Ct-89166/home/39586850
$715000,8114 Surrey Field Ct Las Vegas NV 89113,5,4.5,3466,https://www.redfin.com/NV/Las-Vegas/8114-Surrey-Field-Ct-89113/home/108522766
$479000,9721 Rolling Thunder Ave Las Vegas NV 89148,5,3,3010,https://www.redfin.com/NV/Las-Vegas/9721-Rolling-Thunder-Ave-89148/home/29007604
$430000,241 Lantana Breeze Dr Las Vegas NV 89183,5,2.5,2031,https://www.redfin.com/NV/Las-Vegas/241-Lantana-Breeze-Dr-89183/home/29072031
$650000,9923 W Cherokee Ave Las Vegas NV 89147,5,4,3064,https://www.redfin.com/NV/Las-Vegas/9923-W-Cherokee-Ave-89147/home/29555586
$849770,8961 Fort Crestwood Dr Las Vegas NV 89129,5,3,3503,https://www.redfin.com/NV/Las-Vegas/8961-Fort-Crestwood-Dr-89129/home/29123725
$650000,8081 Adelaide Hills St Las Vegas NV 89113,5,3.5,2978,https://www.redfin.com/NV/Las-Vegas/8081-Adelaide-Hills-St-89113/home/177142260
N/A,N/A,N/A,N/A,N/A,N/A
$792970,11789 Pandion Ave Las Vegas NV 89138,5,3,2370,https://www.redfin.com/NV/Las-Vegas/11789-Pandion-Ave-89138/home/183997330
$625000,4225 Sago Lily St Las Vegas NV 89129,5,3,3008,https://www.redfin.com/NV/Las-Vegas/4225-Sago-Lily-St-89129/home/183996674
$699900,7177 Laramie Ave Las Vegas NV 89113,5,3,3217,https://www.redfin.com/NV/Las-Vegas/7177-Laramie-Ave-89113/home/29035417
$639000,10795 Rising Smoke Ct Las Vegas NV 89183,5,3,3272,https://www.redfin.com/NV/Las-Vegas/10795-Rising-Smoke-Ct-89183/home/29942812
$720000,6017 Rockway Glen Ave Las Vegas NV 89141,5,3.5,3952,https://www.redfin.com/NV/Las-Vegas/6017-Rockway-Glen-Ave-89141/home/167763703
$575000,8786 Sand Verbena Ave Las Vegas NV 89117,5,3,2466,https://www.redfin.com/NV/Las-Vegas/8786-Sand-Verbena-Ave-89117/home/173631446
$575000,9577 Rolling Thunder Ave Las Vegas NV 89148,5,3,3178,https://www.redfin.com/NV/Las-Vegas/9577-Rolling-Thunder-Ave-89148/home/29032793
$485000,7111 Thistle Ridge St Las Vegas NV 89166,5,3,2174,https://www.redfin.com/NV/Las-Vegas/7111-Thistle-Ridge-St-89166/home/51678829
$862214,5237 Meadow Star Ave Las Vegas NV 89141,5,4.5,3894,https://www.redfin.com/NV/Las-Vegas/5237-Meadow-Star-Ave-89141/home/175526997
$694200,8049 Misty Canyon Ave Las Vegas NV 89113,5,4,2341,https://www.redfin.com/NV/Las-Vegas/8049-Misty-Canyon-Ave-89113/home/166317171
$585000,8310 Gold River Ct Las Vegas NV 89113,5,3,2646,https://www.redfin.com/NV/Las-Vegas/8310-Gold-River-Ct-89113/home/175526676
$554900,4607 Maxwell Peak Ct Las Vegas NV 89139,5,3,2647,https://www.redfin.com/NV/Las-Vegas/4607-Maxwell-Peak-Ct-89139/home/28992620
$489990,10596 Dryades Ave Las Vegas NV 89166,5,3,2114,https://www.redfin.com/NV/Las-Vegas/10596-Dryades-Ave-89166/home/179964559
$591323,9781 Free Rappel Ave Las Vegas NV 89166,5,3.5,3066,https://www.redfin.com/NV/Las-Vegas/9781-Free-Rappel-Ave-89166/home/183995676
$550000,1409 Maria Elena Dr Las Vegas NV 89104,5,6,4058,https://www.redfin.com/NV/Las-Vegas/1409-Maria-Elena-Dr-89104/home/29451474
$624900,9338 Wilderness Glen Ave Las Vegas NV 89178,5,3.5,2673,https://www.redfin.com/NV/Las-Vegas/9338-Wilderness-Glen-Ave-89178/home/29056621
$528000,8934 Cypress Fog Ct Las Vegas NV 89178,5,3,2664,https://www.redfin.com/NV/Las-Vegas/8934-Cypress-Fog-Ct-89178/home/177142816
$695000,10118 Cache River Ct Las Vegas NV 89141,5,2.5,3971,https://www.redfin.com/NV/Las-Vegas/10118-Cache-River-Ct-89141/home/166355328
N/A,N/A,N/A,N/A,N/A,N/A
$649995,6373 Varna Ave Las Vegas NV 89110,5,3,3168,https://www.redfin.com/NV/Las-Vegas/6373-Varna-Ave-89110/home/29378162
